county,date,infected_total,infected_diff,death_total,death_diff,latest_cty_updt,note
San Mateo,2020-04-28,1136,37,48,0,2020-04-29,
San Mateo,2020-04-27,1099,19,48,7,2020-04-28,
San Mateo,2020-04-26,1080,61,41,0,2020-04-27,
San Mateo,2020-04-25,1019,0,41,0,2020-04-25,
San Mateo,2020-04-24,1019,30,41,0,2020-04-25,
San Mateo,2020-04-23,989,23,41,2,2020-04-24,
San Mateo,2020-04-22,966,8,39,0,2020-04-23,
San Mateo,2020-04-21,958,23,39,11,2020-04-22,
San Mateo,2020-04-20,935,15,28,0,2020-04-21,
San Mateo,2020-04-19,920,82,28,0,2020-04-20,
San Mateo,2020-04-18,838,0,28,0,2020-04-17,
San Mateo,2020-04-17,838,41,28,0,2020-04-17,
San Mateo,2020-04-16,797,30,28,0,,
San Mateo,2020-04-15,767,20,28,7,,
San Mateo,2020-04-14,747,46,21,0,,
San Mateo,2020-04-13,701,49,21,0,,
San Mateo,2020-04-12,652,0,21,0,,
San Mateo,2020-04-11,652,0,21,0,,
San Mateo,2020-04-10,652,14,21,0,,
San Mateo,2020-04-09,638,5,21,0,,
San Mateo,2020-04-08,633,16,21,0,,
San Mateo,2020-04-07,617,28,21,0,,
San Mateo,2020-04-06,589,10,21,8,,
San Mateo,2020-04-05,579,24,13,0,,
San Mateo,2020-04-04,555,17,13,0,,
San Mateo,2020-04-03,538,52,13,0,,
San Mateo,2020-04-02,486,33,13,3,,
San Mateo,2020-04-01,453,65,10,0,,
San Mateo,2020-03-31,388,79,10,0,,
San Mateo,2020-03-30,309,32,10,4,,
San Mateo,2020-03-29,277,3,6,0,,
San Mateo,2020-03-28,274,35,6,0,,
San Mateo,2020-03-27,239,44,6,1,,
San Mateo,2020-03-26,195,30,5,0,,
San Mateo,2020-03-25,165,4,5,4,,
San Mateo,2020-03-24,161,19,1,0,,
San Mateo,2020-03-23,142,25,1,0,,
San Mateo,2020-03-22,117,7,1,0,,
San Mateo,2020-03-21,110,10,1,0,,
San Mateo,2020-03-20,100,11,1,0,,
San Mateo,2020-03-19,89,9,1,0,,
San Mateo,2020-03-18,80,16,1,0,,
San Mateo,2020-03-17,64,22,1,0,,
San Mateo,2020-03-16,42,10,1,0,,
San Mateo,2020-03-15,32,0,1,1,,
San Mateo,2020-03-14,32,12,0,0,,
San Mateo,2020-03-13,20,0,0,0,,
San Mateo,2020-03-12,20,5,0,0,,
San Mateo,2020-03-11,15,6,0,0,,
San Mateo,2020-03-10,9,0,0,0,,
San Mateo,2020-03-09,9,8,0,0,,
San Mateo,2020-03-08,1,0,0,0,,
San Mateo,2020-03-07,1,0,0,0,,
San Mateo,2020-03-06,1,0,0,0,,
San Mateo,2020-03-05,1,0,0,0,,
San Mateo,2020-03-04,1,0,0,0,,
San Mateo,2020-03-03,1,0,0,0,,
San Mateo,2020-03-02,1,1,0,0,,
Santa Clara,2020-05-15,2403,12,135,1,2020-05-15,
Santa Clara,2020-05-14,2391,10,134,2,2020-05-14,
Santa Clara,2020-05-13,2381,17,132,2,2020-05-13,
Santa Clara,2020-05-12,2364,23,130,1,2020-05-12,
Santa Clara,2020-05-11,2341,2,129,0,2020-05-11,
Santa Clara,2020-05-10,2339,32,129,1,2020-05-10,
Santa Clara,2020-05-09,2307,17,128,0,2020-05-09,
Santa Clara,2020-05-08,2290,9,128,1,2020-05-08,
Santa Clara,2020-05-07,2281,13,127,1,2020-05-07,
Santa Clara,2020-05-06,2268,13,126,5,2020-05-06,
Santa Clara,2020-05-05,2255,11,121,4,2020-05-05,
Santa Clara,2020-05-04,2244,13,117,2,2020-05-04,
Santa Clara,2020-05-03,2231,27,115,1,2020-05-03,
Santa Clara,2020-05-02,2204,25,114,1,2020-05-02,
Santa Clara,2020-05-01,2179,16,113,2,2020-05-01,
Santa Clara,2020-04-30,2163,29,111,4,2020-04-30,
Santa Clara,2020-04-29,2134,12,107,1,2020-04-29,
Santa Clara,2020-04-28,2122,17,106,3,2020-04-28,
Santa Clara,2020-04-27,2105,21,103,3,2020-04-27,
Santa Clara,2020-04-26,2084,44,100,1,2020-04-26,
Santa Clara,2020-04-25,2040,22,99,1,2020-04-25,
Santa Clara,2020-04-24,2018,31,98,3,2020-04-24,
Santa Clara,2020-04-23,1987,25,95,1,2020-04-23,
Santa Clara,2020-04-22,1962,16,94,6,2020-04-22,
Santa Clara,2020-04-21,1946,24,88,5,2020-04-21,
Santa Clara,2020-04-20,1922,52,83,10,2020-04-20,
Santa Clara,2020-04-19,1870,0,73,0,2020-04-17,
Santa Clara,2020-04-18,1870,0,73,0,2020-04-17,
Santa Clara,2020-04-17,1870,37,73,4,2020-04-17,
Santa Clara,2020-04-16,1833,40,69,4,,
Santa Clara,2020-04-15,1793,71,65,1,,
Santa Clara,2020-04-14,1722,56,64,4,,
Santa Clara,2020-04-13,1666,45,60,6,,
Santa Clara,2020-04-12,1621,55,54,3,,
Santa Clara,2020-04-11,1566,82,51,1,,
Santa Clara,2020-04-10,1484,42,50,3,,
Santa Clara,2020-04-09,1442,62,47,1,,
Santa Clara,2020-04-08,1380,95,46,3,,
Santa Clara,2020-04-07,1285,61,43,1,,
Santa Clara,2020-04-06,1224,17,42,3,,
Santa Clara,2020-04-05,1207,59,39,0,,
Santa Clara,2020-04-04,1148,54,39,1,,
Santa Clara,2020-04-03,1094,75,38,2,,
Santa Clara,2020-04-02,1019,63,36,4,,
Santa Clara,2020-04-01,956,66,32,2,,
Santa Clara,2020-03-31,890,42,30,2,,
Santa Clara,2020-03-30,848,202,28,3,,
Santa Clara,2020-03-29,646,55,25,0,,
Santa Clara,2020-03-28,591,17,25,5,,
Santa Clara,2020-03-27,574,32,20,1,,
Santa Clara,2020-03-26,542,83,19,2,,
Santa Clara,2020-03-25,459,84,17,1,,
Santa Clara,2020-03-24,375,54,16,3,,
Santa Clara,2020-03-23,321,19,13,3,,
Santa Clara,2020-03-22,302,39,10,2,,"Woman in 60s
  Woman in 40s"
Santa Clara,2020-03-21,263,67,8,0,,
Santa Clara,2020-03-20,196,7,8,2,,"Man in 80s on 3/17
  Man in 70s"
Santa Clara,2020-03-19,189,14,6,0,,
Santa Clara,2020-03-18,175,20,6,1,,Man in 60s on 3/17
Santa Clara,2020-03-17,155,17,5,1,,Man in 50s on 3/17
Santa Clara,2020-03-16,138,24,4,2,,"Man in 80s on 3/15
  Man in 50s on 3/15"
Santa Clara,2020-03-15,114,23,2,0,,
Santa Clara,2020-03-14,91,12,2,0,,
Santa Clara,2020-03-13,79,13,2,1,,Woman in 80s
Santa Clara,2020-03-12,66,18,1,0,,
Santa Clara,2020-03-11,48,3,1,0,,
Santa Clara,2020-03-10,45,2,1,0,,
Santa Clara,2020-03-09,43,6,1,1,,Woman in 60s on 3/9
Santa Clara,2020-03-08,37,5,0,0,,
Santa Clara,2020-03-07,32,8,0,0,,
Santa Clara,2020-03-06,24,4,0,0,,
Santa Clara,2020-03-05,20,6,0,0,,
Santa Clara,2020-03-04,14,3,0,0,,
Santa Clara,2020-03-03,11,2,0,0,,
Santa Clara,2020-03-02,9,2,0,0,,
Santa Clara,2020-03-01,7,3,0,0,,
Santa Clara,2020-02-29,4,1,0,0,,
Santa Clara,2020-02-28,3,1,0,0,,
Santa Clara,2020-02-27,2,0,0,0,,
Santa Clara,2020-02-26,2,0,0,0,,
Santa Clara,2020-02-25,2,0,0,0,,
Santa Clara,2020-02-24,2,0,0,0,,
Santa Clara,2020-02-23,2,0,0,0,,
Santa Clara,2020-02-22,2,0,0,0,,
Santa Clara,2020-02-21,2,0,0,0,,
Santa Clara,2020-02-20,2,0,0,0,,
Santa Clara,2020-02-19,2,0,0,0,,
Santa Clara,2020-02-18,2,0,0,0,,
Santa Clara,2020-02-17,2,0,0,0,,
Santa Clara,2020-02-16,2,0,0,0,,
Santa Clara,2020-02-15,2,0,0,0,,
Santa Clara,2020-02-14,2,0,0,0,,
Santa Clara,2020-02-13,2,0,0,0,,
Santa Clara,2020-02-12,2,0,0,0,,
Santa Clara,2020-02-11,2,0,0,0,,
Santa Clara,2020-02-10,2,0,0,0,,
Santa Clara,2020-02-09,2,0,0,0,,
Santa Clara,2020-02-08,2,0,0,0,,
Santa Clara,2020-02-07,2,0,0,0,,
Santa Clara,2020-02-06,2,0,0,0,,
Santa Clara,2020-02-05,2,0,0,0,,
Santa Clara,2020-02-04,2,0,0,0,,
Santa Clara,2020-02-03,2,0,0,0,,
Santa Clara,2020-02-02,2,1,0,0,,
Santa Clara,2020-02-01,1,0,0,0,,
Santa Clara,2020-01-31,1,1,0,0,,
Santa Cruz,2020-05-15,149,0,2,0,2020-05-15,
Santa Cruz,2020-05-14,149,3,2,0,2020-05-14,
Santa Cruz,2020-05-13,146,0,2,0,2020-05-13,
Santa Cruz,2020-05-12,146,5,2,0,2020-05-12,
Santa Cruz,2020-05-11,141,0,2,0,2020-05-11,
Santa Cruz,2020-05-10,141,0,2,0,2020-05-10,
Santa Cruz,2020-05-09,141,1,2,0,2020-05-09,
Santa Cruz,2020-05-08,140,1,2,0,2020-05-08,
Santa Cruz,2020-05-07,139,1,2,0,2020-05-07,
Santa Cruz,2020-05-06,138,0,2,0,2020-05-06,
Santa Cruz,2020-05-05,138,1,2,0,2020-05-05,
Santa Cruz,2020-05-04,137,0,2,0,2020-05-04,
Santa Cruz,2020-05-03,137,3,2,0,2020-05-03,
Santa Cruz,2020-05-02,134,2,2,0,2020-05-02,
Santa Cruz,2020-05-01,132,1,2,0,2020-05-01,
Santa Cruz,2020-04-30,131,4,2,0,2020-04-30,
Santa Cruz,2020-04-29,127,2,2,0,2020-04-29,
Santa Cruz,2020-04-28,125,1,2,0,2020-04-28,
Santa Cruz,2020-04-27,124,4,2,0,2020-04-27,
Santa Cruz,2020-04-26,120,5,2,0,2020-04-26,
Santa Cruz,2020-04-25,115,0,2,0,2020-04-24,
Santa Cruz,2020-04-24,115,1,2,0,2020-04-24,
Santa Cruz,2020-04-23,114,3,2,0,2020-04-23,
Santa Cruz,2020-04-22,111,3,2,0,2020-04-22,
Santa Cruz,2020-04-21,108,2,2,0,2020-04-21,
Santa Cruz,2020-04-20,106,2,2,0,2020-04-20,
Santa Cruz,2020-04-19,104,3,2,0,2020-04-19,
Santa Cruz,2020-04-18,101,3,2,0,2020-04-18,
Santa Cruz,2020-04-17,98,2,2,0,2020-04-17,
Santa Cruz,2020-04-16,96,0,2,0,,
Santa Cruz,2020-04-15,96,5,2,1,,
Santa Cruz,2020-04-14,91,0,1,0,,
Santa Cruz,2020-04-13,91,3,1,0,,
Santa Cruz,2020-04-12,88,6,1,0,,
Santa Cruz,2020-04-11,82,2,1,0,,
Santa Cruz,2020-04-10,80,0,1,0,,
Santa Cruz,2020-04-09,80,4,1,0,,
Santa Cruz,2020-04-08,76,0,1,0,,
Santa Cruz,2020-04-07,76,5,1,0,,
Santa Cruz,2020-04-06,71,2,1,0,,
Santa Cruz,2020-04-05,69,7,1,0,,
Santa Cruz,2020-04-04,62,3,1,0,,
Santa Cruz,2020-04-03,59,2,1,0,,
Santa Cruz,2020-04-02,57,3,1,0,,
Santa Cruz,2020-04-01,54,5,1,0,,
Santa Cruz,2020-03-31,49,4,1,0,,
Santa Cruz,2020-03-30,45,1,1,0,,
Santa Cruz,2020-03-29,44,5,1,1,,Man in 70s
Santa Cruz,2020-03-28,39,5,0,0,,
Santa Cruz,2020-03-27,34,2,0,0,,
Santa Cruz,2020-03-26,32,7,0,0,,
Santa Cruz,2020-03-25,25,1,0,0,,
Santa Cruz,2020-03-24,24,2,0,0,,
Santa Cruz,2020-03-23,22,7,0,0,,
Santa Cruz,2020-03-22,15,0,0,0,,
Santa Cruz,2020-03-21,15,0,0,0,,
Santa Cruz,2020-03-20,15,1,0,0,,
Santa Cruz,2020-03-19,14,1,0,0,,
Santa Cruz,2020-03-18,13,0,0,0,,
Santa Cruz,2020-03-17,13,4,0,0,,
Santa Cruz,2020-03-16,9,2,0,0,,
Santa Cruz,2020-03-15,7,0,0,0,,
Santa Cruz,2020-03-14,7,0,0,0,,
Santa Cruz,2020-03-13,7,0,0,0,,
Santa Cruz,2020-03-12,7,3,0,0,,
Santa Cruz,2020-03-11,4,2,0,0,,
Santa Cruz,2020-03-10,2,0,0,0,,
Santa Cruz,2020-03-09,2,1,0,0,,
Santa Cruz,2020-03-08,1,0,0,0,,
Santa Cruz,2020-03-07,1,1,0,0,,
Solano,2020-05-15,410,2,16,2,2020-05-15,
Solano,2020-05-14,408,11,14,2,2020-05-14,
Solano,2020-05-13,397,9,12,1,2020-05-13,
Solano,2020-05-12,388,9,11,1,2020-05-12,
Solano,2020-05-11,379,7,10,3,2020-05-11,
Solano,2020-05-10,372,4,7,0,2020-05-11,
Solano,2020-05-09,368,17,7,0,2020-05-11,
Solano,2020-05-08,351,9,7,0,2020-05-08,
Solano,2020-05-07,342,5,7,0,2020-05-07,
Solano,2020-05-06,337,12,7,1,2020-05-06,
Solano,2020-05-05,325,5,6,0,2020-05-05,
Solano,2020-05-04,320,54,6,1,2020-05-04,
Solano,2020-05-03,266,0,5,0,2020-05-01,
Solano,2020-05-02,266,0,5,0,2020-05-01,
Solano,2020-05-01,266,3,5,0,2020-05-01,
Solano,2020-04-30,263,9,5,0,2020-04-30,
Solano,2020-04-29,254,5,5,1,2020-04-29,
Solano,2020-04-28,249,23,4,0,2020-04-28,
Solano,2020-04-27,226,3,4,0,2020-04-27,
Solano,2020-04-26,223,3,4,0,2020-04-27,
Solano,2020-04-25,220,21,4,0,2020-04-27,
Solano,2020-04-24,199,8,4,0,2020-04-24,
Solano,2020-04-23,191,5,4,1,2020-04-23,
Solano,2020-04-22,186,5,3,0,2020-04-22,
Solano,2020-04-21,181,1,3,1,2020-04-21,
Solano,2020-04-20,180,0,2,0,2020-04-20,
Solano,2020-04-19,180,4,2,0,2020-04-20,
Solano,2020-04-18,176,7,2,0,2020-04-20,
Solano,2020-04-17,169,13,2,0,2020-04-17,
Solano,2020-04-16,156,15,2,0,,
Solano,2020-04-15,141,1,2,0,,
Solano,2020-04-14,140,5,2,0,,
Solano,2020-04-13,135,5,2,0,,
Solano,2020-04-12,130,4,2,0,,
Solano,2020-04-11,126,5,2,0,,
Solano,2020-04-10,121,6,2,0,,
Solano,2020-04-09,115,3,2,0,,
Solano,2020-04-08,112,13,2,0,,
Solano,2020-04-07,99,11,2,1,,
Solano,2020-04-06,88,3,1,0,,
Solano,2020-04-05,85,9,1,0,,
Solano,2020-04-04,76,3,1,0,,
Solano,2020-04-03,73,12,1,0,,
Solano,2020-04-02,61,7,1,1,,
Solano,2020-04-01,54,5,0,0,,
Solano,2020-03-31,49,6,0,0,,
Solano,2020-03-30,43,6,0,0,,
Solano,2020-03-29,37,3,0,0,,
Solano,2020-03-28,34,0,0,0,,
Solano,2020-03-27,34,0,0,0,,
Solano,2020-03-26,34,3,0,0,,
Solano,2020-03-25,31,7,0,0,,
Solano,2020-03-24,24,0,0,0,,
Solano,2020-03-23,24,3,0,0,,
Solano,2020-03-22,21,4,0,0,,
Solano,2020-03-21,17,3,0,0,,
Solano,2020-03-20,14,1,0,0,,
Solano,2020-03-19,13,4,0,0,,
Solano,2020-03-18,9,2,0,0,,
Solano,2020-03-17,7,0,0,0,,
Solano,2020-03-16,7,1,0,0,,
Solano,2020-03-15,6,1,0,0,,
Solano,2020-03-14,5,0,0,0,,
Solano,2020-03-13,5,0,0,0,,
Solano,2020-03-12,5,0,0,0,,
Solano,2020-03-11,5,1,0,0,,
Solano,2020-03-10,4,1,0,0,,
Solano,2020-03-09,3,0,0,0,,
Solano,2020-03-08,3,0,0,0,,
Solano,2020-03-07,3,0,0,0,,
Solano,2020-03-06,3,0,0,0,,
Solano,2020-03-05,3,0,0,0,,
Solano,2020-03-04,3,0,0,0,,
Solano,2020-03-03,3,0,0,0,,
Solano,2020-03-02,3,0,0,0,,
Solano,2020-03-01,3,0,0,0,,
Solano,2020-02-29,3,1,0,0,,
Solano,2020-02-28,2,0,0,0,,
Solano,2020-02-27,2,0,0,0,,
Solano,2020-02-26,2,1,0,0,,
Solano,2020-02-25,1,1,0,0,,
Sonoma,2020-05-15,364,13,4,0,2020-05-15,
Sonoma,2020-05-14,351,14,4,0,2020-05-14,
Sonoma,2020-05-13,337,4,4,0,2020-05-13,
Sonoma,2020-05-12,333,21,4,0,2020-05-12,
Sonoma,2020-05-11,312,3,4,1,2020-05-11,
Sonoma,2020-05-10,309,0,3,0,2020-05-10,
Sonoma,2020-05-09,309,9,3,0,2020-05-09,
Sonoma,2020-05-08,300,8,3,0,2020-05-08,
Sonoma,2020-05-07,292,6,3,0,2020-05-07,
Sonoma,2020-05-06,286,14,3,0,2020-05-06,
Sonoma,2020-05-05,272,11,3,0,2020-05-05,
Sonoma,2020-05-04,261,4,3,0,2020-05-04,
Sonoma,2020-05-03,257,5,3,1,2020-05-03,
Sonoma,2020-05-02,252,4,2,0,2020-05-02,
Sonoma,2020-05-01,248,4,2,0,2020-05-01,
Sonoma,2020-04-30,244,12,2,0,2020-04-30,
Sonoma,2020-04-29,232,4,2,0,2020-04-29,
Sonoma,2020-04-28,228,6,2,0,2020-04-28,
Sonoma,2020-04-27,222,2,2,0,2020-04-27,
Sonoma,2020-04-26,220,2,2,0,2020-04-26,
Sonoma,2020-04-25,218,1,2,0,2020-04-25,
Sonoma,2020-04-24,217,1,2,0,2020-04-24,
Sonoma,2020-04-23,216,22,2,0,2020-04-23,
Sonoma,2020-04-22,194,2,2,0,2020-04-22,
Sonoma,2020-04-21,192,10,2,0,2020-04-21,
Sonoma,2020-04-20,182,1,2,0,2020-04-20,
Sonoma,2020-04-19,181,1,2,0,2020-04-19,
Sonoma,2020-04-18,180,0,2,0,2020-04-18,
Sonoma,2020-04-17,180,8,2,0,2020-04-17,
Sonoma,2020-04-16,172,9,2,0,,
Sonoma,2020-04-15,163,3,2,0,,
Sonoma,2020-04-14,160,8,2,0,,
Sonoma,2020-04-13,152,5,2,0,,
Sonoma,2020-04-12,147,2,2,0,,
Sonoma,2020-04-11,145,0,2,0,,
Sonoma,2020-04-10,145,3,2,1,,
Sonoma,2020-04-09,142,5,1,0,,
Sonoma,2020-04-08,137,17,1,0,,
Sonoma,2020-04-07,120,5,1,0,,
Sonoma,2020-04-06,115,4,1,0,,
Sonoma,2020-04-05,111,4,1,0,,
Sonoma,2020-04-04,107,3,1,0,,
Sonoma,2020-04-03,104,9,1,0,,
Sonoma,2020-04-02,95,4,1,0,,
Sonoma,2020-04-01,91,7,1,0,,
Sonoma,2020-03-31,84,11,1,0,,
Sonoma,2020-03-30,73,7,1,0,,
Sonoma,2020-03-29,66,8,1,0,,
Sonoma,2020-03-28,58,4,1,0,,
Sonoma,2020-03-27,54,7,1,0,,
Sonoma,2020-03-26,47,8,1,0,,
Sonoma,2020-03-25,39,2,1,0,,
Sonoma,2020-03-24,37,8,1,0,,
Sonoma,2020-03-23,29,2,1,0,,
Sonoma,2020-03-22,27,3,1,0,,
Sonoma,2020-03-21,24,2,1,0,,
Sonoma,2020-03-20,22,11,1,1,,
Sonoma,2020-03-19,11,2,0,0,,
Sonoma,2020-03-18,9,0,0,0,,
Sonoma,2020-03-17,9,2,0,0,,
Sonoma,2020-03-16,7,3,0,0,,
Sonoma,2020-03-15,4,0,0,0,,
Sonoma,2020-03-14,4,2,0,0,,
Sonoma,2020-03-13,2,0,0,0,,
Sonoma,2020-03-12,2,0,0,0,,
Sonoma,2020-03-11,2,0,0,0,,
Sonoma,2020-03-10,2,0,0,0,,
Sonoma,2020-03-09,2,0,0,0,,
Sonoma,2020-03-08,2,0,0,0,,
Sonoma,2020-03-07,2,0,0,0,,
Sonoma,2020-03-06,2,0,0,0,,
Sonoma,2020-03-05,2,0,0,0,,
Sonoma,2020-03-04,2,1,0,0,,
Sonoma,2020-03-03,1,0,0,0,,
Sonoma,2020-03-02,1,1,0,0,,
